record_id,dataset_name,sampling_rate,time_resolution_ms,duration_seconds,num_leads,lead_names,annotation_source,has_manual_t_end,adc_gain,adc_resolution_bits,uv_per_lsb,pipeline_version,processing_timestamp
ptbxl/00033,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00034,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00035,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,12.0,,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00036,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00037,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00038,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00039,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ptbxl/00040,ptbxl,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,12.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ludb/00001,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00002,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00003,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00004,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00005,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,16.0,,1.0.0,2026-06-13T05:04:22.604103
ludb/00006,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ludb/00007,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,16.0,,1.0.0,2026-06-13T05:04:22.604103
ludb/00008,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,12.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00009,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,,2.44,1.0.0,2026-06-13T05:04:22.604103
ludb/00010,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,2.44,1.0.0,2026-06-13T05:04:22.604103
ludb/00011,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,12.0,,1.0.0,2026-06-13T05:04:22.604103
ludb/00012,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00013,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00014,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00015,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
ludb/00016,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,12.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ludb/00017,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,4880.0,12.0,2.44,1.0.0,2026-06-13T05:04:22.604103
ludb/00018,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,,1.0.0,2026-06-13T05:04:22.604103
ludb/00019,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,,16.0,,1.0.0,2026-06-13T05:04:22.604103
ludb/00020,ludb,500.0,2.0,10.0,12,i;ii;iii;avr;avl;avf;v1;v2;v3;v4;v5;v6,cardiologist,True,1000.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
nstdb/00001,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,,12.0,4.88,1.0.0,2026-06-13T05:04:22.604103
nstdb/00002,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,,16.0,4.88,1.0.0,2026-06-13T05:04:22.604103
nstdb/00003,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,1000.0,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
nstdb/00004,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,1000.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
nstdb/00005,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,4880.0,16.0,,1.0.0,2026-06-13T05:04:22.604103
nstdb/00006,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,1000.0,16.0,2.44,1.0.0,2026-06-13T05:04:22.604103
nstdb/00007,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,4880.0,,4.88,1.0.0,2026-06-13T05:04:22.604103
nstdb/00008,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,,16.0,,1.0.0,2026-06-13T05:04:22.604103
nstdb/00009,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,4880.0,12.0,,1.0.0,2026-06-13T05:04:22.604103
nstdb/00010,nstdb,360.0,2.7778,30.0,2,mlii;v5_mod,automated,False,,12.0,,1.0.0,2026-06-13T05:04:22.604103
